AAPL,250.12,1773578359.9462874
GOOGL,302.28,1773578362.4729276
MSFT,395.55,1773578365.7554069
AMZN,207.67,1773578370.0629857
TSLA,391.2,1773578372.4835107
META,613.71,1773578374.2291443
NVDA,180.25,1773578376.6222212
JPM,283.44,1773578380.3078375
V,307.14,1773578382.664632
UNH,282.09,1773578388.5876513
AAPL,250.12,1773578405.13887
GOOGL,302.28,1773578415.0300658
MSFT,395.55,1773578422.9845033
AMZN,207.67,1773578425.120364
TSLA,391.2,1773578430.1166072
META,613.71,1773578433.360025
NVDA,180.25,1773578434.5213082
JPM,283.44,1773578435.536261
V,307.14,1773578436.5797937
UNH,282.09,1773578437.666805
AAPL,250.12,1773578470.4062433
GOOGL,302.28,1773578471.5997684
MSFT,395.55,1773578473.738627
AMZN,207.67,1773578479.0822773
TSLA,391.2,1773578481.4248207
META,613.71,1773578488.1464317
NVDA,180.25,1773578497.1429787
JPM,283.44,1773578512.2987707
V,307.14,1773578517.2668526
UNH,282.09,1773578521.0337546
AAPL,250.12,1773578527.250627
GOOGL,302.28,1773578530.0327868
MSFT,395.55,1773578532.273944
AMZN,207.67,1773578534.4716759
TSLA,391.2,1773578538.003694
META,613.71,1773578541.8951075
NVDA,180.25,1773578545.9886882
JPM,283.44,1773578548.4697385
V,307.14,1773578555.6148179
UNH,282.09,1773578558.9979181
AAPL,250.12,1773578588.2781887
GOOGL,302.28,1773578593.3519437
MSFT,395.55,1773578602.0288665
AMZN,207.67,1773578606.4052057
TSLA,391.2,1773578610.0912895
META,613.71,1773578612.3445408
NVDA,180.25,1773578616.10965
JPM,283.44,1773578619.438993
V,307.14,1773578621.8021748
UNH,282.09,1773578624.2471004
AAPL,250.12,1773578644.2939231
GOOGL,302.28,1773578655.1590168
MSFT,395.55,1773578661.0876272
AMZN,207.67,1773578663.6512945
TSLA,391.2,1773578666.9828098
META,613.71,1773578670.3247514
NVDA,180.25,1773578674.092577
JPM,283.44,1773578676.2458975
V,307.14,1773578679.8319077
UNH,282.09,1773578682.2998896
AAPL,250.12,1773578705.5304499
GOOGL,302.28,1773578712.2885635
MSFT,395.55,1773578718.0221605
AMZN,207.67,1773578723.9434755
TSLA,391.2,1773578727.2388074
META,613.71,1773578729.4916623
NVDA,180.25,1773578733.9463644
JPM,283.44,1773578736.250167
V,307.14,1773578740.2580802
UNH,282.09,1773578742.4945142
AAPL,250.12,1773578763.2891822
GOOGL,302.28,1773578767.6873784
MSFT,395.55,1773578769.0184524
AMZN,207.67,1773578773.2109396
TSLA,391.2,1773578775.5725398
META,613.71,1773578777.8268495
NVDA,180.25,1773578780.4818873
JPM,283.44,1773578786.0171223
V,307.14,1773578788.1367197
UNH,282.09,1773578794.311966
AAPL,250.12,1773578831.0924835
GOOGL,302.28,1773578835.7425835
MSFT,395.55,1773578837.8409257
AMZN,207.67,1773578840.1744304
TSLA,391.2,1773578842.4402738
META,613.71,1773578850.3280509
NVDA,180.25,1773578869.184741
JPM,283.44,1773578881.989173
V,307.14,1773578888.6239831
UNH,282.09,1773578896.9615648
AAPL,250.12,1773578888.6241145
GOOGL,302.28,1773578896.0988395
MSFT,395.55,1773578899.7851257
AMZN,207.67,1773578904.614517
TSLA,391.2,1773578908.38689
META,613.71,1773578910.5413094
NVDA,180.25,1773578916.9945645
JPM,283.44,1773578923.5431018
V,307.14,1773578928.107029
UNH,282.09,1773578933.0657
AAPL,250.12,1773579003.654834
GOOGL,302.28,1773579009.438804
MSFT,395.55,1773579017.1510518
AMZN,207.67,1773579022.2699475
TSLA,391.2,1773579031.452431
META,613.71,1773579046.01437
NVDA,180.25,1773579051.032046
JPM,283.44,1773579053.3074179
V,307.14,1773579057.6082838
UNH,282.09,1773579064.2668226
AAPL,250.12,1773579302.7346094
GOOGL,302.28,1773579306.421056
MSFT,395.55,1773579308.8787665
AMZN,207.67,1773579312.556838
TSLA,391.2,1773579315.2335105
META,613.71,1773579317.5887344
NVDA,180.25,1773579319.9543176
JPM,283.44,1773579323.6247165
V,307.14,1773579325.6575751
UNH,282.09,1773579327.925292
AAPL,250.12,1773579362.8446112
GOOGL,302.28,1773579365.3018372
MSFT,395.55,1773579369.0909245
AMZN,207.67,1773579371.3434565
TSLA,391.2,1773579373.5964277
META,613.71,1773579374.8440888
NVDA,180.25,1773579378.520034
JPM,283.44,1773579380.860855
V,307.14,1773579384.4535182
UNH,282.09,1773579386.8147523
AAPL,250.12,1773579423.691875
GOOGL,302.28,1773579425.8224945
MSFT,395.55,1773579429.0980365
AMZN,207.67,1773579430.6343484
TSLA,391.2,1773579435.3439727
META,613.71,1773579437.596784
NVDA,180.25,1773579439.773822
JPM,283.44,1773579442.04574
V,307.14,1773579445.6931863
UNH,282.09,1773579447.2228322
AAPL,250.12,1773579483.165924
GOOGL,302.28,1773579487.3630393
MSFT,395.55,1773579489.8210063
AMZN,207.67,1773579491.972333
TSLA,391.2,1773579495.7738578
META,613.71,1773579496.9899154
NVDA,180.25,1773579500.0807235
JPM,283.44,1773579503.7484488
V,307.14,1773579506.104125
UNH,282.09,1773579509.6878684
AAPL,250.12,1773579543.6852212
GOOGL,302.28,1773579547.3718271
MSFT,395.55,1773579549.7038138
AMZN,207.67,1773579553.4207432
TSLA,391.2,1773579556.9626832
META,613.71,1773579559.045241
NVDA,180.25,1773579562.8059354
JPM,283.44,1773579565.2267644
V,307.14,1773579567.5443468
UNH,282.09,1773579570.002677
AAPL,250.12,1773579602.9757936
GOOGL,302.28,1773579605.370977
MSFT,395.55,1773579608.914635
AMZN,207.67,1773579612.4987075
TSLA,391.2,1773579614.7517328
META,613.71,1773579617.016484
NVDA,180.25,1773579619.25748
JPM,283.44,1773579622.841365
V,307.14,1773579625.2037675
UNH,282.09,1773579627.757806
AAPL,250.12,1773580149.7076807
GOOGL,302.28,1773580153.3942866
MSFT,395.55,1773580157.3148253
AMZN,207.67,1773580161.2787147
TSLA,391.2,1773580162.9306262
META,613.71,1773580167.5362852
NVDA,180.25,1773580169.8799362
JPM,283.44,1773580174.7126427
V,307.14,1773580178.6968703
UNH,282.09,1773580182.5966332
AAPL,250.12,1773580203.501325
GOOGL,302.28,1773580207.038988
MSFT,395.55,1773580210.2019475
AMZN,207.67,1773580214.6515422
TSLA,391.2,1773580219.4511557
META,613.71,1773580221.8065455
NVDA,180.25,1773580225.7077
JPM,283.44,1773580229.0951495
V,307.14,1773580231.3271363
UNH,282.09,1773580233.6824558
AAPL,250.12,1773580323.689992
GOOGL,302.28,1773580326.172703
MSFT,395.55,1773580328.3973591
AMZN,207.67,1773580332.1089635
TSLA,391.2,1773580335.5739129
META,613.71,1773580338.955578
NVDA,180.25,1773580341.1879084
JPM,283.44,1773580343.4688463
V,307.14,1773580347.2462637
UNH,282.09,1773580349.5110857
AAPL,250.12,1773580383.588786
GOOGL,302.28,1773580385.8425183
MSFT,395.55,1773580389.527647
AMZN,207.67,1773580391.7804725
TSLA,391.2,1773580393.9335675
META,613.71,1773580396.2861202
NVDA,180.25,1773580399.761936
JPM,283.44,1773580400.7636092
V,307.14,1773580403.1536784
UNH,282.09,1773580405.3095357
AAPL,250.12,1773580443.49598
GOOGL,302.28,1773580444.9588304
MSFT,395.55,1773580446.36103
AMZN,207.67,1773580449.3308039
TSLA,391.2,1773580451.2023368
META,613.71,1773580454.9660573
NVDA,180.25,1773580457.220866
JPM,283.44,1773580459.4942183
V,307.14,1773580461.9049377
UNH,282.09,1773580464.2136717
AAPL,250.12,1773580507.7129672
GOOGL,302.28,1773580509.9796128
MSFT,395.55,1773580511.2194273
AMZN,207.67,1773580513.67017
TSLA,391.2,1773580517.2509568
META,613.71,1773580519.6257246
NVDA,180.25,1773580523.1627362
JPM,283.44,1773580525.5299606
V,307.14,1773580529.0138717
UNH,282.09,1773580532.4836302
AAPL,250.12,1773580563.8370478
GOOGL,302.28,1773580568.5985038
MSFT,395.55,1773580576.8419118
AMZN,207.67,1773580580.0318727
TSLA,391.2,1773580582.5705583
META,613.71,1773580586.8566341
NVDA,180.25,1773580589.6100912
JPM,283.44,1773580593.0166967
V,307.14,1773580596.5071833
UNH,282.09,1773580600.2676227
AAPL,250.12,1773580623.2348862
GOOGL,302.28,1773580625.4771843
MSFT,395.55,1773580627.8401275
AMZN,207.67,1773580631.96191
TSLA,391.2,1773580634.609195
META,613.71,1773580638.1735635
NVDA,180.25,1773580640.9663954
JPM,283.44,1773580644.5271864
V,307.14,1773580658.199696
UNH,282.09,1773580660.7383964
AAPL,250.12,1773580683.7796462
GOOGL,302.28,1773580685.9941337
MSFT,395.55,1773580688.340644
AMZN,207.67,1773580690.5955598
TSLA,391.2,1773580693.3559597
META,613.71,1773580695.7125525
NVDA,180.25,1773580697.9627542
JPM,283.44,1773580700.2386942
V,307.14,1773580702.69872
UNH,282.09,1773580705.9844508
AAPL,250.12,1773580806.842785
GOOGL,302.28,1773580814.7244139
MSFT,395.55,1773580822.914728
AMZN,207.67,1773580829.8782823
TSLA,391.2,1773580835.2823522
META,613.71,1773580842.679719
NVDA,180.25,1773580846.6764174
JPM,283.44,1773580857.93641
V,307.14,1773580865.6520028
UNH,282.09,1773580872.883023
AAPL,250.12,1773580872.2519243
GOOGL,302.28,1773580874.6240554
MSFT,395.55,1773580877.878599
AMZN,207.67,1773580890.9610226
TSLA,391.2,1773580893.9879344
META,613.71,1773580900.7555108
NVDA,180.25,1773580914.9531474
JPM,283.44,1773580923.7585278
V,307.14,1773580930.799793
UNH,282.09,1773580937.7135081
AAPL,250.12,1773581227.7042902
GOOGL,302.28,1773581231.7379608
MSFT,395.55,1773581238.662425
AMZN,207.67,1773581256.6089945
TSLA,391.2,1773581275.2088492
META,613.73,1773581301.6187744
NVDA,180.27,1773581308.683706
JPM,283.46,1773581320.0913312
V,307.16,1773581335.1343596
UNH,282.11,1773581359.9107265
AAPL,250.14,1773581350.7872932
GOOGL,302.3,1773581358.8955166
MSFT,395.57,1773581364.7288601
